main_category_name
Additive
Bakery
Beverage
Cereal
Condiment
Dairy
Dish
Essential Oil
Fish
Flower
Fruit
Fungi
Herb
Legume
Maize
Meat
Nuts and Seeds
Plant
Plant Derivative
Seafood
Spice
Vegetable
