cuisine_type
American
Mediterranean
Italian
Mexican
Japanese
Thai
Peruvian
Vietnamese
Levantine
Hungarian
Greek
Chinese
French
Turkish
Belgian
English
Swiss
Indian
Polish
Swedish
Korean
Russian
Irish
German
Australian
Brazilian
Canadian
Argentinian
Moroccan
Jamaican
Cuban
Egyptian
Israeli
Portuguese
Sri Lankan
Norwegian
Indonesian
Malaysian
Danish
Finnish
Austrian
Ukrainian
Dutch
South African
Filipino
Saudi Arabian
Emirati
Iraqi
Iranian
Afghan
Pakistani
Bangladeshi
Nepali
Sudanese
Ethiopian
Kenyan
Tanzanian
Ghanaian
Nigerian
Senegalese
Ivorian
Cameroonian
Congolese
Angolan
Zimbabwean
Zambian
Botswanan
Namibian
Mozambican
Malagasy
Mauritian
Ugandan
Rwandan
Burundian
Algerian
Tunisian
Libyan
Mauritanian
Chadian
Nigerien
Burkinabe
Guinean
Sierra Leonean
Liberian
Gambian
Malian
Guinean-Bissauan
Cape Verdean
São Toméan
Gabonese
Equatorial Guinean
Djiboutian
Comoran
Central African
Seychellois
Maldivian
Bhutanese
Mongolian
North Korean
South Korean
Cambodian
Laotian
Burmese
Singaporean
Timorese
Mandarin
Cantonese
Taiwanese
Hakka
Hokkien
Shanghainese
Hunanese
Szechuan
Fujianese
Hainanese
Tibetan
Uyghur
Kazakh
Kyrgyz
Tajik
Turkmen
Uzbek
Armenian
Azerbaijani
Bahraini
Bruneian
Georgian
Jordanian
Kazakhstani
Kuwaiti
Lebanese
Myanmar (Burmese)
Nepalese
Omani
Palestinian
Philippine
Qatari
Saudi
Syrian
Yemenite
